1 - 2		83
1 - 2 - 3		221
1 - 4		191
1 - 4 - 5		294
1 - 4 - 5 - 6		443
1 - 2 - 7		256
1 - 2 - 7 - 8		441
1 - 2 - 3 - 10 - 9		479
1 - 2 - 3 - 10		326
2 - 3		138
2 - 1 - 4		274
2 - 7 - 5		271
2 - 7 - 8 - 6		405
2 - 7		173
2 - 7 - 8		358
2 - 3 - 10 - 9		396
2 - 3 - 10		243
3 - 10 - 7 - 4		372
3 - 10 - 7 - 5		357
3 - 10 - 9 - 8 - 6		392
3 - 10 - 7		259
3 - 10 - 9 - 8		345
3 - 10 - 9		258
3 - 10		105
4 - 5		103
4 - 5 - 6		252
4 - 7		113
4 - 5 - 8		293
4 - 5 - 8 - 9		380
4 - 7 - 10		267
5 - 6		149
5 - 7		98
5 - 8		190
5 - 8 - 9		277
5 - 7 - 10		252
6 - 8 - 7		232
6 - 8		47
6 - 8 - 9		134
6 - 8 - 9 - 10		287
7 - 8		185
7 - 8 - 9		272
7 - 10		154
8 - 9		87
8 - 9 - 10		240
9 - 10		153
