1 - 2		45
1 - 2 - 28 - 3		179
1 - 2 - 28 - 29 - 27 - 45 - 4		322
1 - 2 - 28 - 29 - 27 - 45 - 4 - 16 - 5		422
1 - 2 - 28 - 29 - 27 - 45 - 4 - 22 - 18 - 46 - 19 - 6		520
1 - 2 - 28 - 29 - 27 - 45 - 4 - 16 - 5 - 48 - 7		485
1 - 2 - 28 - 29 - 27 - 45 - 14 - 13 - 8		449
1 - 2 - 28 - 29 - 27 - 45 - 14 - 13 - 9		437
1 - 2 - 28 - 29 - 27 - 45 - 14 - 11 - 10		467
1 - 2 - 28 - 29 - 27 - 45 - 14 - 11		408
1 - 2 - 28 - 29 - 27 - 45 - 14 - 13 - 9 - 12		491
1 - 2 - 28 - 29 - 27 - 45 - 14 - 13		390
1 - 2 - 28 - 29 - 27 - 45 - 14		314
1 - 2 - 28 - 29 - 27 - 45 - 4 - 16 - 15		425
1 - 2 - 28 - 29 - 27 - 45 - 4 - 16		400
1 - 2 - 28 - 29 - 27 - 45 - 4 - 16 - 5 - 48 - 17		445
1 - 2 - 28 - 29 - 27 - 45 - 4 - 22 - 18		414
1 - 2 - 28 - 29 - 27 - 45 - 4 - 22 - 18 - 46 - 19		466
1 - 2 - 28 - 29 - 27 - 45 - 4 - 16 - 5 - 48 - 7 - 20		542
1 - 2 - 28 - 29 - 27 - 26 - 40 - 39 - 21		397
1 - 2 - 28 - 29 - 27 - 45 - 4 - 22		357
1 - 2 - 28 - 29 - 27 - 45 - 4 - 22 - 23		403
1 - 2 - 28 - 29 - 27 - 45 - 4 - 22 - 23 - 24		425
1 - 35 - 36 - 30 - 37 - 25		307
1 - 2 - 28 - 29 - 27 - 26		255
1 - 2 - 28 - 29 - 27		205
1 - 2 - 28		109
1 - 2 - 28 - 29		159
1 - 35 - 36 - 30		134
1 - 31		42
1 - 32		23
1 - 32 - 33		55
1 - 35 - 34		61
1 - 35		36
1 - 35 - 36		90
1 - 35 - 36 - 30 - 37		236
1 - 35 - 36 - 30 - 37 - 38		379
1 - 2 - 28 - 29 - 27 - 26 - 40 - 39		354
1 - 2 - 28 - 29 - 27 - 26 - 40		315
1 - 2 - 28 - 29 - 27 - 45 - 4 - 22 - 18 - 46 - 19 - 47 - 41		559
1 - 2 - 28 - 29 - 27 - 45 - 4 - 16 - 5 - 48 - 7 - 49 - 42		552
1 - 2 - 28 - 29 - 27 - 45 - 14 - 13 - 8 - 43		482
1 - 2 - 28 - 29 - 27 - 45 - 4 - 16 - 5 - 44		461
1 - 2 - 28 - 29 - 27 - 45		267
1 - 2 - 28 - 29 - 27 - 45 - 4 - 22 - 18 - 46		421
1 - 2 - 28 - 29 - 27 - 45 - 4 - 22 - 18 - 46 - 19 - 47		471
1 - 2 - 28 - 29 - 27 - 45 - 4 - 16 - 5 - 48		434
1 - 2 - 28 - 29 - 27 - 45 - 4 - 16 - 5 - 48 - 7 - 49		520
1 - 2 - 28 - 29 - 27 - 45 - 4 - 16 - 5 - 50		502
2 - 28 - 3		134
2 - 28 - 29 - 27 - 45 - 4		277
2 - 28 - 29 - 27 - 45 - 4 - 16 - 5		377
2 - 28 - 29 - 27 - 45 - 4 - 22 - 18 - 46 - 19 - 6		475
2 - 28 - 29 - 27 - 45 - 4 - 16 - 5 - 48 - 7		440
2 - 28 - 29 - 27 - 45 - 14 - 13 - 8		404
2 - 28 - 29 - 27 - 45 - 14 - 13 - 9		392
2 - 28 - 29 - 27 - 45 - 14 - 11 - 10		422
2 - 28 - 29 - 27 - 45 - 14 - 11		363
2 - 28 - 29 - 27 - 45 - 14 - 13 - 9 - 12		446
2 - 28 - 29 - 27 - 45 - 14 - 13		345
2 - 28 - 29 - 27 - 45 - 14		269
2 - 28 - 29 - 27 - 45 - 4 - 16 - 15		380
2 - 28 - 29 - 27 - 45 - 4 - 16		355
2 - 28 - 29 - 27 - 45 - 4 - 16 - 5 - 48 - 17		400
2 - 28 - 29 - 27 - 45 - 4 - 22 - 18		369
2 - 28 - 29 - 27 - 45 - 4 - 22 - 18 - 46 - 19		421
2 - 28 - 29 - 27 - 45 - 4 - 16 - 5 - 48 - 7 - 20		497
2 - 28 - 29 - 27 - 26 - 40 - 39 - 21		352
2 - 28 - 29 - 27 - 45 - 4 - 22		312
2 - 28 - 29 - 27 - 45 - 4 - 22 - 23		358
2 - 28 - 29 - 27 - 45 - 4 - 22 - 23 - 24		380
2 - 28 - 29 - 27 - 26 - 25		285
2 - 28 - 29 - 27 - 26		210
2 - 28 - 29 - 27		160
2 - 28		64
2 - 28 - 29		114
2 - 1 - 35 - 36 - 30		179
2 - 31		30
2 - 1 - 32		68
2 - 1 - 32 - 33		100
2 - 1 - 35 - 34		106
2 - 1 - 35		81
2 - 1 - 35 - 36		135
2 - 1 - 35 - 36 - 30 - 37		281
2 - 28 - 29 - 27 - 26 - 25 - 38		383
2 - 28 - 29 - 27 - 26 - 40 - 39		309
2 - 28 - 29 - 27 - 26 - 40		270
2 - 28 - 29 - 27 - 45 - 4 - 22 - 18 - 46 - 19 - 47 - 41		514
2 - 28 - 29 - 27 - 45 - 4 - 16 - 5 - 48 - 7 - 49 - 42		507
2 - 28 - 29 - 27 - 45 - 14 - 13 - 8 - 43		437
2 - 28 - 29 - 27 - 45 - 4 - 16 - 5 - 44		416
2 - 28 - 29 - 27 - 45		222
2 - 28 - 29 - 27 - 45 - 4 - 22 - 18 - 46		376
2 - 28 - 29 - 27 - 45 - 4 - 22 - 18 - 46 - 19 - 47		426
2 - 28 - 29 - 27 - 45 - 4 - 16 - 5 - 48		389
2 - 28 - 29 - 27 - 45 - 4 - 16 - 5 - 48 - 7 - 49		475
2 - 28 - 29 - 27 - 45 - 4 - 16 - 5 - 50		457
3 - 28 - 29 - 27 - 45 - 4		283
3 - 28 - 29 - 27 - 45 - 4 - 16 - 5		383
3 - 28 - 29 - 27 - 45 - 4 - 22 - 18 - 46 - 19 - 6		481
3 - 28 - 29 - 27 - 45 - 4 - 16 - 5 - 48 - 7		446
3 - 28 - 29 - 27 - 45 - 14 - 13 - 8		410
3 - 28 - 29 - 27 - 45 - 14 - 13 - 9		398
3 - 28 - 29 - 27 - 45 - 14 - 11 - 10		428
3 - 28 - 29 - 27 - 45 - 14 - 11		369
3 - 28 - 29 - 27 - 45 - 14 - 13 - 9 - 12		452
3 - 28 - 29 - 27 - 45 - 14 - 13		351
3 - 28 - 29 - 27 - 45 - 14		275
3 - 28 - 29 - 27 - 45 - 4 - 16 - 15		386
3 - 28 - 29 - 27 - 45 - 4 - 16		361
3 - 28 - 29 - 27 - 45 - 4 - 16 - 5 - 48 - 17		406
3 - 28 - 29 - 27 - 45 - 4 - 22 - 18		375
3 - 28 - 29 - 27 - 45 - 4 - 22 - 18 - 46 - 19		427
3 - 28 - 29 - 27 - 45 - 4 - 16 - 5 - 48 - 7 - 20		503
3 - 28 - 29 - 27 - 26 - 40 - 39 - 21		358
3 - 28 - 29 - 27 - 45 - 4 - 22		318
3 - 28 - 29 - 27 - 45 - 4 - 22 - 23		364
3 - 28 - 29 - 27 - 45 - 4 - 22 - 23 - 24		386
3 - 28 - 29 - 27 - 26 - 25		291
3 - 28 - 29 - 27 - 26		216
3 - 28 - 29 - 27		166
3 - 28		70
3 - 28 - 29		120
3 - 28 - 2 - 1 - 35 - 36 - 30		313
3 - 28 - 31		150
3 - 28 - 2 - 1 - 32		202
3 - 28 - 2 - 1 - 32 - 33		234
3 - 28 - 2 - 1 - 35 - 34		240
3 - 28 - 2 - 1 - 35		215
3 - 28 - 2 - 1 - 35 - 36		269
3 - 28 - 29 - 27 - 26 - 25 - 37		362
3 - 28 - 29 - 27 - 26 - 25 - 38		389
3 - 28 - 29 - 27 - 26 - 40 - 39		315
3 - 28 - 29 - 27 - 26 - 40		276
3 - 28 - 29 - 27 - 45 - 4 - 22 - 18 - 46 - 19 - 47 - 41		520
3 - 28 - 29 - 27 - 45 - 4 - 16 - 5 - 48 - 7 - 49 - 42		513
3 - 28 - 29 - 27 - 45 - 14 - 13 - 8 - 43		443
3 - 28 - 29 - 27 - 45 - 4 - 16 - 5 - 44		422
3 - 28 - 29 - 27 - 45		228
3 - 28 - 29 - 27 - 45 - 4 - 22 - 18 - 46		382
3 - 28 - 29 - 27 - 45 - 4 - 22 - 18 - 46 - 19 - 47		432
3 - 28 - 29 - 27 - 45 - 4 - 16 - 5 - 48		395
3 - 28 - 29 - 27 - 45 - 4 - 16 - 5 - 48 - 7 - 49		481
3 - 28 - 29 - 27 - 45 - 4 - 16 - 5 - 50		463
4 - 16 - 5		100
4 - 22 - 18 - 46 - 19 - 6		198
4 - 16 - 5 - 48 - 7		163
4 - 16 - 5 - 44 - 8		178
4 - 45 - 14 - 13 - 9		225
4 - 45 - 14 - 11 - 10		255
4 - 45 - 14 - 11		196
4 - 45 - 14 - 13 - 9 - 12		279
4 - 45 - 14 - 13		178
4 - 45 - 14		102
4 - 16 - 15		103
4 - 16		78
4 - 16 - 5 - 48 - 17		123
4 - 22 - 18		92
4 - 22 - 18 - 46 - 19		144
4 - 16 - 5 - 48 - 7 - 20		220
4 - 22 - 21		90
4 - 22		35
4 - 22 - 23		81
4 - 22 - 23 - 24		103
4 - 22 - 40 - 25		164
4 - 45 - 27 - 26		167
4 - 45 - 27		117
4 - 45 - 27 - 29 - 28		213
4 - 45 - 27 - 29		163
4 - 22 - 40 - 25 - 37 - 30		337
4 - 45 - 27 - 29 - 28 - 31		293
4 - 45 - 27 - 29 - 28 - 2 - 1 - 32		345
4 - 45 - 27 - 29 - 28 - 2 - 1 - 32 - 33		377
4 - 45 - 27 - 29 - 28 - 2 - 1 - 35 - 34		383
4 - 45 - 27 - 29 - 28 - 2 - 1 - 35		358
4 - 22 - 40 - 25 - 37 - 30 - 36		381
4 - 22 - 40 - 25 - 37		235
4 - 22 - 21 - 38		208
4 - 22 - 21 - 39		133
4 - 22 - 40		115
4 - 22 - 18 - 46 - 19 - 47 - 41		237
4 - 16 - 5 - 48 - 7 - 49 - 42		230
4 - 16 - 5 - 44 - 8 - 43		211
4 - 16 - 5 - 44		139
4 - 45		55
4 - 22 - 18 - 46		99
4 - 22 - 18 - 46 - 19 - 47		149
4 - 16 - 5 - 48		112
4 - 16 - 5 - 48 - 7 - 49		198
4 - 16 - 5 - 50		180
5 - 48 - 7 - 20 - 6		160
5 - 48 - 7		63
5 - 44 - 8		78
5 - 44 - 8 - 13 - 9		184
5 - 44 - 8 - 13 - 9 - 10		242
5 - 16 - 4 - 45 - 14 - 11		296
5 - 44 - 8 - 13 - 9 - 12		238
5 - 44 - 8 - 13		137
5 - 16 - 4 - 45 - 14		202
5 - 16 - 15		47
5 - 16		22
5 - 48 - 17		23
5 - 16 - 15 - 46 - 18		106
5 - 16 - 15 - 46 - 19		144
5 - 48 - 7 - 20		120
5 - 16 - 4 - 22 - 21		190
5 - 16 - 4 - 22		135
5 - 16 - 15 - 46 - 18 - 24 - 23		153
5 - 16 - 15 - 46 - 18 - 24		131
5 - 16 - 4 - 22 - 40 - 25		264
5 - 16 - 4 - 45 - 27 - 26		267
5 - 16 - 4 - 45 - 27		217
5 - 16 - 4 - 45 - 27 - 29 - 28		313
